Albariño 2016,2016,299,3.8,1222,Spain
Cabernet Sauvignon 2018,2018,549,4.1,1222,United States
Gessamí 2018,2018,159.95,4.1,1220,Spain
Amarone della Valpolicella Classico 2016,2016,349,4.4,1220,Italy
Mt. Jefferson Cuvée Pinot Noir 2018,2018,299,4.2,1217,United States
Pessac-Léognan (Grand Cru Classé de Graves) 2009,2009,1495,4.5,1208,France
Garnacha 2017,2017,295,4.5,1202,Spain
Sauvignon Blanc 2018,2018,109.95,4.1,1199,New Zealand
Cabernet Sauvignon - Shiraz 2018,2018,89,3.7,1198,South Africa
TD9 2015,2015,435,4.3,1190,United States
Barbera d'Asti Le Orme 2017,2017,139,3.6,1189,Italy
El Vivero de Usaldón Garnacha Colección Origen 2018,2018,49.50,3.7,1181,Spain
Alter Ego de Château Palmer 2009,2009,1099,4.3,1174,France
Cabernet Sauvignon 2017,2017,199,3.8,1172,United States
HEBO (Suvereto) 2017,2017,109,3.8,1169,Italy
Private Selection Old Vines Malbec 2014,2014,109.95,3.8,1167,Argentina
Papale Linea Oro Primitivo di Manduria 2017,2017,149,4.4,1167,Italy
Chardonnay Santa Barbara County 2018,2018,175,4.0,1156,United States
Ribera Del Duero Crianza 2015,2015,183,3.9,1150,Spain
Blu Onice Aglianico Irpinia 2017,2017,99.95,4.2,1147,Italy
Big Easy Red 2016,2016,149.95,3.8,1145,South Africa
Touriga Nacional 2012,2012,169.95,3.9,1142,Portugal
Saint-Émilion Grand Cru (Grand Cru Classé) 2009,2009,695,4.2,1137,France
Rioja Crianza 2013,2013,170,3.8,1137,Spain
Toscana Le Cupole Rosso 2015,2015,240,4.1,1137,Italy
Haut-Médoc 2016,2016,79.95,3.8,1137,France
Cos d'Estournel 1986,1986,1875,4.4,1136,France
Cuvée Alexandre Cabernet Sauvignon (Apalta Vineyard) 2014,2014,159.95,4.0,1134,Chile
Côte-Rôtie Brune & Blonde de Guigal 2013,2013,369.95,4.1,1131,France
Vigneto Monte Sant'Urbano Amarone della Valpolicella Classico 2015,2015,350,4.3,1130,Italy
Châteauneuf-du-Pape 2016,2016,315,4.1,1128,France
Chryseia Douro 2016,2016,579,4.5,1126,Portugal
Chardonnay 2017,2017,249.95,4.2,1125,Argentina
Brunello di Montalcino 2014,2014,299.95,4.1,1124,Italy
Geyserville 2017,2017,395,4.2,1120,United States
Moulis-en-Médoc 2011,2011,314,4.0,1120,France
Tinto 2011,2011,89.95,3.7,1118,Portugal
Durif - Shiraz 2019,2019,69,4.0,1117,Australia
